Rank: 1: ID: 368	Closeness Centrality: 0.5091096700934251
Rank: 2: ID: 430	Closeness Centrality: 0.36751654500828035
Rank: 3: ID: 20662	Closeness Centrality: 0.35960331344152235
Rank: 4: ID: 64508	Closeness Centrality: 0.3524676973966586
Rank: 5: ID: 46927	Closeness Centrality: 0.3476395638047439
Rank: 6: ID: 63597	Closeness Centrality: 0.34664599877968927
Rank: 7: ID: 60992	Closeness Centrality: 0.34627563265189726
Rank: 8: ID: 62221	Closeness Centrality: 0.34616649546110323
Rank: 9: ID: 57099	Closeness Centrality: 0.3461240717967187
Rank: 10: ID: 77174	Closeness Centrality: 0.34540747446182624
Rank: 11: ID: 3044	Closeness Centrality: 0.34511503858153597
Rank: 12: ID: 41081	Closeness Centrality: 0.3450006110175586
Rank: 13: ID: 73838	Closeness Centrality: 0.3448411413404313
Rank: 14: ID: 26362	Closeness Centrality: 0.3445076349108529
Rank: 15: ID: 61563	Closeness Centrality: 0.3444656168434952
Rank: 16: ID: 36804	Closeness Centrality: 0.3442676696441598
Rank: 17: ID: 59672	Closeness Centrality: 0.34407893215280677
Rank: 18: ID: 56825	Closeness Centrality: 0.3440639618501996
Rank: 19: ID: 70757	Closeness Centrality: 0.3438694663919004
Rank: 20: ID: 37504	Closeness Centrality: 0.3438664758715664
