Rank: 1: ID: 13179	Closeness Centrality: 0.4830497522156526
Rank: 2: ID: 1	Closeness Centrality: 0.4254915672022477
Rank: 3: ID: 2400	Closeness Centrality: 0.3906102067421265
Rank: 4: ID: 109292929514346332	Closeness Centrality: 0.38697401004409443
Rank: 5: ID: 109355700962815786	Closeness Centrality: 0.3867693391239043
Rank: 6: ID: 259792	Closeness Centrality: 0.38654241124480465
Rank: 7: ID: 107909616669852316	Closeness Centrality: 0.38632662733303774
Rank: 8: ID: 510714	Closeness Centrality: 0.3819866920727121
Rank: 9: ID: 1323892	Closeness Centrality: 0.38146678687071084
Rank: 10: ID: 26897	Closeness Centrality: 0.38130742412610585
Rank: 11: ID: 67736	Closeness Centrality: 0.38121072711547593
Rank: 12: ID: 559242	Closeness Centrality: 0.38078466799837224
Rank: 13: ID: 373459	Closeness Centrality: 0.3804126258188334
Rank: 14: ID: 109303572228553990	Closeness Centrality: 0.3803086846502627
Rank: 15: ID: 108199052370473764	Closeness Centrality: 0.37863192013191443
Rank: 16: ID: 29256	Closeness Centrality: 0.3786224663998586
Rank: 17: ID: 109367943326879125	Closeness Centrality: 0.37691004192633143
Rank: 18: ID: 354718	Closeness Centrality: 0.37614128596552054
Rank: 19: ID: 109243139631965273	Closeness Centrality: 0.37577858442331047
Rank: 20: ID: 859347	Closeness Centrality: 0.375318611748689
