Rank: 1: ID: 13179	Degree Centrality: 0.05878297961917077
Rank: 2: ID: 20210	Degree Centrality: 0.023555755522578988
Rank: 3: ID: 1	Degree Centrality: 0.01990430112874702
Rank: 4: ID: 559242	Degree Centrality: 0.017510094415021275
Rank: 5: ID: 107192220324249637	Degree Centrality: 0.017080987801111978
Rank: 6: ID: 510714	Degree Centrality: 0.013903748263621821
Rank: 7: ID: 109292929514346332	Degree Centrality: 0.011863467759751188
Rank: 8: ID: 109355700962815786	Degree Centrality: 0.01137884330900187
Rank: 9: ID: 107215301464188384	Degree Centrality: 0.01078665304937502
Rank: 10: ID: 107909616669852316	Degree Centrality: 0.00992265671355225
Rank: 11: ID: 156899	Degree Centrality: 0.009473887532428778
Rank: 12: ID: 2400	Degree Centrality: 0.009402176993177089
Rank: 13: ID: 259792	Degree Centrality: 0.009249502941867042
Rank: 14: ID: 109423964184455413	Degree Centrality: 0.009044780918519478
Rank: 15: ID: 355392	Degree Centrality: 0.008962660784860285
Rank: 16: ID: 108147087055662876	Degree Centrality: 0.008881697272801928
Rank: 17: ID: 195557	Degree Centrality: 0.00887938402960026
Rank: 18: ID: 1070626	Degree Centrality: 0.008797263895941067
Rank: 19: ID: 39378	Degree Centrality: 0.00872324011348771
Rank: 20: ID: 565568	Degree Centrality: 0.008385506606044273
