Total unique instances: 7745
Total mastodon.social instances: 137991
Total non-mastodon.social instances: 98486

Instance Rankings:
mastodon.social: 137991
pawoo.net: 8311
mstdn.jp: 5498
mastodon.cloud: 3430
mastodon.online: 2790
mastodon.art: 2769
mastodon.xyz: 2313
fosstodon.org: 1703
octodon.social: 1521
mamot.fr: 1425
bitcoinhackers.org: 1045
framapiaf.org: 979
social.tchncs.de: 954
meow.social: 915
botsin.space: 912
mstdn.social: 900
chaos.social: 892
witches.live: 810
cybre.space: 769
mastodon.gamedev.place: 690
todon.nl: 641
social.quodverum.com: 610
friends.nico: 604
qaf.men: 588
knzk.me: 584
pixelfed.social: 558
mas.to: 519
mastodon.bida.im: 518
social.librem.one: 486
abdl.link: 486
infosec.exchange: 484
mastodon.sdf.org: 482
queer.party: 470
snouts.online: 469
scholar.social: 449
quey.org: 440
qoto.org: 430
mastodon.host: 424
linuxrocks.online: 423
awoo.space: 404
sunbeam.city: 382
yiff.life: 373
toot.cafe: 370
mastodon.ml: 369
noagendasocial.com: 368
anarchism.space: 357
wandering.shop: 354
berries.space: 339
mstdn.io: 337
soc.ialis.me: 335
bsd.network: 329
anticapitalist.party: 320
social.targaryen.house: 312
social.coop: 310
mastodon.network: 308
mastodon.lol: 304
elekk.xyz: 285
kinky.business: 276
aus.social: 276
toot.cat: 275
trollian.space: 270
eldritch.cafe: 264
equestria.social: 248
lgbt.io: 243
hachyderm.io: 241
freeradical.zone: 237
tabletop.social: 236
icosahedron.website: 234
merveilles.town: 232
jorts.horse: 230
tech.lgbt: 228
social.privacytools.io: 225
vulpine.club: 224
chitter.xyz: 218
dice.camp: 214
mastodon.world: 214
bots.tinysubversions.com: 210
peertube.mastodon.host: 207
quitter.se: 204
liberdon.com: 189
writing.exchange: 188
imastodon.net: 183
weirder.earth: 181
bear.community: 179
vis.social: 177
misskey.io: 174
computerfairi.es: 170
qiitadon.com: 170
social.theliturgists.com: 166
juick.com: 164
mathstodon.xyz: 162
shitposter.club: 162
kirakiratter.com: 158
mastodon.club: 158
refactorcamp.org: 158
securitymastod.one: 152
social.linux.pizza: 151
peertube.social: 149
mastodon.starrevolution.org: 148
koyu.space: 146
glitch.social: 144
pleroma.site: 143
esperanto.masto.host: 143
mastodonten.de: 139
mstdn.party: 138
mstdn.maud.io: 137
fedibird.com: 134
mastodon.in.th: 134
hackers.town: 133
monsterpit.net: 132
aleph.land: 131
mstdn.foxfam.club: 129
mastodon.uno: 128
mastodon.rocks: 127
toot.love: 127
photog.social: 123
mastodon.eus: 122
layer8.space: 120
best-friends.chat: 116
catdon.life: 116
lor.sh: 115
g0v.social: 112
social.lou.lt: 111
mao.daizhige.org: 111
cmx.im: 110
rubber.social: 109
a.weirder.earth: 107
oc.todon.fr: 106
hex.bz: 105
sleeping.town: 103
c.im: 103
social.nasqueron.org: 102
mastodon.zaclys.com: 101
oransns.com: 101
tooot.im: 101
metalhead.club: 100
dragon.style: 99
kind.social: 99
universeodon.com: 98
tilde.zone: 97
witches.town: 95
girlcock.club: 95
mastodon.top: 95
diode.zone: 93
vocalodon.net: 93
witchcraft.cafe: 93
kinkyelephant.com: 92
oulipo.social: 91
xoxo.zone: 89
gnusocial.de: 89
write.as: 89
mstdn.osaka: 89
monads.online: 88
lesbian.energy: 87
quitter.no: 86
fedi.absturztau.be: 86
masto.ai: 85
lgbtq.cool: 84
mstdn.tokyocameraclub.com: 84
mastodon.cx: 84
mastodon.cc: 84
blimps.xyz: 84
donotban.com: 84
socel.net: 83
scifi.fyi: 82
tootplanet.space: 82
donphan.social: 81
mstdn.fr: 81
masto.pt: 80
mastodon.radio: 79
masthead.social: 79
ruby.social: 78
mastodon.blue: 77
pixelfed.de: 77
mastodonapp.uk: 77
post.lurk.org: 76
plural.cafe: 75
twinja.club: 74
mstdn-workers.com: 73
skeptikon.fr: 73
mastodon.org.uk: 73
toot.wales: 72
deadinsi.de: 72
mastodon.scot: 72
floss.social: 71
dobbs.town: 71
hellsite.site: 71
mstdn.ca: 70
im-in.space: 70
mstdn.beer: 70
idlethumbs.social: 70
komaedak.in: 69
mastodon.etalab.gouv.fr: 68
queer.af: 68
mastodont.cat: 68
mastodon.ie: 67
peoplemaking.games: 67
occult.camp: 67
furry.engineer: 67
shitpost.poridge.club: 67
functional.cafe: 66
mastodon.partipirate.org: 66
unixcorn.xyz: 65
techhub.social: 65
todon.eu: 64
twingyeo.kr: 64
mstdn.kemono-friends.info: 64
toot.thoughtworks.com: 63
toot.berlin: 63
indieweb.social: 62
maly.io: 62
kitty.town: 62
ruhr.social: 62
kolektiva.social: 62
bassam.social: 62
ohai.social: 61
mastodon.tetaneutral.net: 61
pleroma.soykaf.com: 60
tiny.tilde.website: 60
troet.cafe: 60
toot.community: 60
blob.cat: 59
mspsocial.net: 59
plush.city: 59
sfba.social: 59
social.vivaldi.net: 58
acg.mn: 58
misskey.xyz: 58
