Total unique instances: 18847
Total mastodon.social nodes: 321717
Total non-mastodon.social nodes: 542871

Instance Rankings:
mastodon.social: 321717
mstdn.social: 25494
mastodon.online: 19245
mas.to: 16670
mastodon.world: 14387
fosstodon.org: 9387
pawoo.net: 9067
infosec.exchange: 9025
hachyderm.io: 8166
mastodonapp.uk: 7618
mstdn.jp: 7329
mastodon.cloud: 7240
troet.cafe: 6704
mastodon.lol: 6580
mastodon.art: 6412
mastodon.nl: 6256
universeodon.com: 5733
mastodon.gamedev.place: 5348
mamot.fr: 5290
chaos.social: 5185
aus.social: 5034
c.im: 4715
mastodon.scot: 4580
piaille.fr: 4363
mastodon.sdf.org: 4316
mstdn.ca: 4117
techhub.social: 4115
mstdn.party: 3915
sfba.social: 3877
masto.ai: 3760
mastodon.xyz: 3544
home.social: 3514
mastodon.ie: 3496
toot.community: 3424
ohai.social: 3147
social.tchncs.de: 2977
norden.social: 2773
mindly.social: 2770
newsie.social: 2637
framapiaf.org: 2614
mastodon.green: 2589
mastodon.uno: 2462
ecoevo.social: 2451
fediscience.org: 2401
octodon.social: 2373
pixelfed.social: 2337
tech.lgbt: 2312
qoto.org: 2250
mathstodon.xyz: 2223
botsin.space: 2156
nrw.social: 2013
mstdn.science: 2012
mastodont.cat: 1962
sigmoid.social: 1961
zirk.us: 1927
det.social: 1924
nerdculture.de: 1819
wandering.shop: 1784
econtwitter.net: 1770
med-mastodon.com: 1763
mastodon.top: 1753
mastodon.nu: 1632
mastodon.nz: 1630
mastodon.au: 1626
sportsbots.xyz: 1541
sciences.social: 1526
sueden.social: 1510
journa.host: 1496
climatejustice.social: 1482
indieweb.social: 1401
meow.social: 1316
ruhr.social: 1310
ioc.exchange: 1287
toot.wales: 1284
eldritch.cafe: 1281
dice.camp: 1263
mastodontech.de: 1256
masthead.social: 1231
mastodon.bida.im: 1222
tkz.one: 1207
m.cmx.im: 1204
bitcoinhackers.org: 1199
masto.pt: 1168
bildung.social: 1166
scholar.social: 1154
wien.rocks: 1153
todon.nl: 1129
hessen.social: 1118
misskey.io: 1112
a.gup.pe: 1079
mastodonczech.cz: 1071
fedibird.com: 1065
social.cologne: 1051
witches.live: 1045
writing.exchange: 998
social.vivaldi.net: 998
muenchen.social: 993
twit.social: 977
ruby.social: 950
genomic.social: 936
social.anoxinon.de: 923
masto.es: 919
socel.net: 915
social.linux.pizza: 907
urbanists.social: 900
ravenation.club: 847
mastodon.me.uk: 846
cybre.space: 843
queer.party: 839
vis.social: 835
noc.social: 826
kinky.business: 803
qaf.men: 781
social.coop: 755
lile.cl: 743
hci.social: 737
mastouille.fr: 736
paquita.masto.host: 730
mastodon.eus: 727
mastodontti.fi: 726
hcommons.social: 723
quey.org: 717
ursal.zone: 697
